id,in,out,total,,,,,
837,2,2,4,,,,,
838,4,3,7,,,,,
839,1,1,2,,,,,
840,1,1,2,,,,,
841,2,3,5,,,,,
842,1,1,2,,,,,
843,3,3,6,,,,,
844,1,1,2,,,,,
845,2,2,4,,,,,
846,1,1,2,,,,,
847,1,1,2,,,,,
848,1,1,2,,,,,
849,1,3,4,,,,,
850,1,2,3,,,,,
851,2,1,3,,,,,
852,0,2,2,,,,,
853,1,3,4,,,,,
854,1,1,2,,,,,
855,1,1,2,,,,,
856,2,2,4,,,,,
857,2,1,3,,,,,
858,3,2,5,,,,,
859,1,1,2,,,,,
860,1,3,4,,,,,
861,0,2,2,,,,,
862,2,0,2,,,,,
863,4,2,6,,,,,
864,1,2,3,,,,,
865,1,1,2,,,,,
866,2,2,4,,,,,
867,1,1,2,,,,,
868,2,2,4,,,,,
869,1,1,2,,,,,
870,1,1,2,,,,,
871,1,2,3,,,,,
872,1,2,3,,,,,
873,1,2,3,,,,,
874,1,1,2,,,,,
875,5,7,12,,,,,
876,1,1,2,,,,,
877,1,2,3,,,,,
878,1,1,2,,,,,
879,1,1,2,,,,,
880,3,3,6,,,,,
881,1,2,3,,,,,
882,2,4,6,,,,,
883,2,0,2,,,,,
884,2,0,2,,,,,
885,5,2,7,,,,,
886,1,2,3,,,,,
887,3,1,4,,,,,
888,2,2,4,,,,,
889,0,2,2,,,,,
890,1,2,3,,,,,
891,2,2,4,,,,,
892,4,1,5,,,,,
893,2,0,2,,,,,
894,1,3,4,,,,,
895,4,5,9,,,,,
896,2,3,5,,,,,
897,1,2,3,,,,,
898,2,0,2,,,,,
899,1,0,1,,,,,
900,1,1,2,,,,,
901,3,2,5,,,,,
902,0,2,2,,,,,
903,3,4,7,,,,,
904,1,1,2,,,,,
905,1,1,2,,,,,
906,4,4,8,,,,,
907,1,1,2,,,,,
908,1,2,3,,,,,
909,1,2,3,,,,,
910,1,1,2,,,,,
911,2,3,5,,,,,
912,1,1,2,,,,,
913,1,0,1,,,,,
914,1,1,2,,,,,
915,2,4,6,,,,,
916,2,1,3,,,,,
917,1,1,2,,,,,
918,3,4,7,,,,,
919,1,1,2,,,,,
920,2,3,5,,,,,
921,1,1,2,,,,,
922,4,1,5,,,,,
923,2,0,2,,,,,
924,1,1,2,,,,,
925,1,1,2,,,,,
926,4,4,8,,,,,
927,1,1,2,,,,,
928,2,0,2,,,,,
929,1,3,4,,,,,
930,2,1,3,,,,,
931,2,3,5,,,,,
932,2,1,3,,,,,
933,2,0,2,,,,,
934,1,1,2,,,,,
935,1,1,2,,,,,
936,2,2,4,,,,,
937,1,0,1,,,,,
938,1,0,1,,,,,
939,2,0,2,,,,,
940,1,1,2,,,,,
941,2,0,2,,,,,
942,1,0,1,,,,,
943,1,0,1,,,,,
944,2,0,2,,,,,
945,0,2,2,,,,,
946,1,1,2,,,,,
947,1,2,3,,,,,
948,0,2,2,,,,,
949,3,2,5,,,,,
950,1,1,2,,,,,
951,1,1,2,,,,,
952,0,3,3,,,,,
953,1,1,2,,,,,
954,1,0,1,,,,,
955,2,2,4,,,,,
956,4,3,7,,,,,
957,1,1,2,,,,,
958,1,1,2,,,,,
959,2,3,5,,,,,
960,1,1,2,,,,,
961,3,3,6,,,,,
962,1,1,2,,,,,
963,2,2,4,,,,,
964,1,1,2,,,,,
965,1,1,2,,,,,
966,1,1,2,,,,,
967,1,3,4,,,,,
968,1,2,3,,,,,
969,2,1,3,,,,,
970,0,2,2,,,,,
971,1,3,4,,,,,
972,1,1,2,,,,,
973,1,1,2,,,,,
974,2,2,4,,,,,
975,2,1,3,,,,,
976,3,2,5,,,,,
977,1,1,2,,,,,
978,1,3,4,,,,,
979,0,2,2,,,,,
980,2,0,2,,,,,
981,4,2,6,,,,,
982,1,2,3,,,,,
983,1,1,2,,,,,
984,2,2,4,,,,,
985,1,1,2,,,,,
986,2,2,4,,,,,
987,1,1,2,,,,,
988,1,1,2,,,,,
989,1,2,3,,,,,
990,1,2,3,,,,,
991,1,2,3,,,,,
992,1,1,2,,,,,
993,5,7,12,,,,,
994,1,1,2,,,,,
995,1,2,3,,,,,
996,1,1,2,,,,,
997,1,1,2,,,,,
998,3,3,6,,,,,
999,1,2,3,,,,,
1000,2,4,6,,,,,
1001,2,0,2,,,,,
1002,2,0,2,,,,,
1003,5,2,7,,,,,
1004,1,2,3,,,,,
1005,3,1,4,,,,,
1006,2,2,4,,,,,
1007,0,2,2,,,,,
1008,1,2,3,,,,,
1009,2,2,4,,,,,
1010,4,1,5,,,,,
1011,2,0,2,,,,,
1012,1,3,4,,,,,
1013,4,4,8,,,,,
1014,2,3,5,,,,,
1015,1,2,3,,,,,
1016,2,0,2,,,,,
1017,1,0,1,,,,,
1018,1,1,2,,,,,
1019,3,2,5,,,,,
1020,0,2,2,,,,,
1021,3,4,7,,,,,
1022,1,1,2,,,,,
1023,1,1,2,,,,,
1024,4,4,8,,,,,
1025,1,1,2,,,,,
1026,1,2,3,,,,,
1027,1,2,3,,,,,
1028,1,1,2,,,,,
1029,2,3,5,,,,,
1030,1,1,2,,,,,
1031,1,0,1,,,,,
1032,1,1,2,,,,,
1033,2,4,6,,,,,
1034,2,1,3,,,,,
1035,1,1,2,,,,,
1036,3,4,7,,,,,
1037,1,1,2,,,,,
1038,2,3,5,,,,,
1039,1,1,2,,,,,
1040,4,1,5,,,,,
1041,2,0,2,,,,,
1042,1,1,2,,,,,
1043,1,1,2,,,,,
1044,4,4,8,,,,,
1045,1,1,2,,,,,
1046,2,0,2,,,,,
1047,1,3,4,,,,,
1048,2,1,3,,,,,
1049,2,3,5,,,,,
1050,2,1,3,,,,,
1051,2,0,2,,,,,
1052,1,1,2,,,,,
1053,1,1,2,,,,,
1054,2,2,4,,,,,
1055,1,0,1,,,,,
1056,1,0,1,,,,,
1057,2,0,2,,,,,
1058,1,1,2,,,,,
1059,2,0,2,,,,,
1060,1,0,1,,,,,
1061,1,0,1,,,,,
1062,2,0,2,,,,,
